"여자","광주광역시","35~39세",4733,3648,459,5410,4105,743
"여자","광주광역시","40~44세",4267,2348,574,4665,3009,684
"여자","광주광역시","45~49세",4882,1537,962,5185,2060,1355
"여자","광주광역시","50~54세",6189,876,1420,5935,1364,1805
"여자","광주광역시","55~59세",7357,646,1632,7548,829,2290
"여자","광주광역시","60~64세",6597,377,823,8660,632,2240
"여자","광주광역시","65~69세",7739,232,515,7406,460,1207
"여자","광주광역시","70~74세",7748,188,254,7294,174,783
"여자","광주광역시","75~79세",8081,186,151,7121,130,573
"여자","광주광역시","80~84세",5802,10,96,5410,49,242
"여자","광주광역시","85세 이상",3119,85,65,3615,57,64
"여자","대전광역시","계",88013,39055,7394,112585,57155,11468
"여자","대전광역시","20세 미만",2364,2364,-,4046,4046,-
"여자","대전광역시","20~24세",13290,13249,23,18602,18578,12
"여자","대전광역시","25~29세",7961,7741,203,13661,13275,338
"여자","대전광역시","30~34세",5726,5123,427,7590,6876,499
"여자","대전광역시","35~39세",4194,3338,401,5697,4480,748
"여자","대전광역시","40~44세",4670,2787,647,4758,3293,642
"여자","대전광역시","45~49세",4598,1659,862,5491,2524,1189
"여자","대전광역시","50~54세",6053,1045,1273,6200,1423,1594
"여자","대전광역시","55~59세",7157,612,1476,7668,971,2019
"여자","대전광역시","60~64세",6776,478,1007,9328,648,2002
"여자","대전광역시","65~69세",6677,322,488,7865,496,1223
"여자","대전광역시","70~74세",6254,176,267,6765,210,512
"여자","대전광역시","75~79세",5793,116,187,6526,174,376
"여자","대전광역시","80~84세",4348,39,91,4979,70,241
"여자","대전광역시","85세 이상",2152,6,42,3409,91,73
"여자","울산광역시","계",50014,13658,5320,54778,16829,7007
"여자","울산광역시","20세 미만",262,262,-,171,171,-
"여자","울산광역시","20~24세",2044,2044,-,2529,2519,5
"여자","울산광역시","25~29세",2636,2547,54,4148,3995,92
"여자","울산광역시","30~34세",2756,2432,246,2978,2599,202
"여자","울산광역시","35~39세",2508,2099,156,2627,2071,281
"여자","울산광역시","40~44세",2959,1553,417,2773,1698,415
"여자","울산광역시","45~49세",3946,1198,815,3650,1389,740
"여자","울산광역시","50~54세",4464,600,1076,4298,841,1086
"여자","울산광역시","55~59세",5547,439,1046,5573,553,1424
"여자","울산광역시","60~64세",5513,213,827,6823,497,1336
"여자","울산광역시","65~69세",4498,130,222,5798,301,798
"여자","울산광역시","70~74세",4600,51,272,4593,95,296
"여자","울산광역시","75~79세",4027,53,131,4046,44,201
"여자","울산광역시","80~84세",2846,37,37,2971,21,91
"여자","울산광역시","85세 이상",1408,-,21,1800,35,40
"여자","세종특별자치시","계",11396,5071,1684,20853,12035,2997
"여자","세종특별자치시","20세 미만",390,390,-,661,661,-
"여자","세종특별자치시","20~24세",1742,1731,6,3584,3584,-
"여자","세종특별자치시","25~29세",989,964,20,2935,2869,51
"여자","세종특별자치시","30~34세",779,625,144,1989,1669,294
"여자","세종특별자치시","35~39세",650,451,145,1429,1049,235
"여자","세종특별자치시","40~44세",588,357,154,1231,858,256
"여자","세종특별자치시","45~49세",751,233,361,1272,603,396
"여자","세종특별자치시","50~54세",685,150,278,1251,329,465
"여자","세종특별자치시","55~59세",774,85,277,1218,192,484
"여자","세종특별자치시","60~64세",607,29,125,1288,138,410
"여자","세종특별자치시","65~69세",522,34,21,1031,44,222
"여자","세종특별자치시","70~74세",682,14,82,874,15,98
"여자","세종특별자치시","75~79세",1005,3,32,830,10,60
"여자","세종특별자치시","80~84세",769,-,21,722,14,14
"여자","세종특별자치시","85세 이상",463,5,18,538,-,12
"여자","경기도","계",521236,179254,50953,647934,263283,75212
"여자","경기도","20세 미만",3703,3703,-,4934,4934,-
"여자","경기도","20~24세",26255,26104,98,39180,38971,119
"여자","경기도","25~29세",35773,34602,881,66481,64508,1337
"여자","경기도","30~34세",35169,31202,2340,46746,41449,3332
"여자","경기도","35~39세",31488,24639,3251,40184,32174,3761
"여자","경기도","40~44세",34350,21022,4549,37425,25246,4831
"여자","경기도","45~49세",36115,14018,6594,42500,20606,7199
"여자","경기도","50~54세",40151,8545,8364,45210,12333,9778
"여자","경기도","55~59세",48311,6252,9425,53940,7854,12653
"여자","경기도","60~64세",41958,3790,6062,64282,6451,13240
"여자","경기도","65~69세",43512,2274,3950,53828,4018,8205
"여자","경기도","70~74세",47969,1432,2567,48100,2335,4952
"여자","경기도","75~79세",46551,880,1735,45576,1314,3196
"여자","경기도","80~84세",32782,543,848,35733,603,1786
"여자","경기도","85세 이상",17149,248,289,23815,487,823
"여자","강원도","계",107139,23385,10439,115693,34526,14984
